"Ticket";"Open_Date_Time";"Open_Day";"Open_Time";"Type";"Size";"Item";"Price";"Stop_Loss";"Take_Profit";"Close_Date_Time";"Close_Day";"Close_Time";"Price";"Commission";"Taxes";"Swap";"Profit"
22237191;"2022.10.20 17:57:37";20.10.2022;"17:57:37";"sell";0,03;".de40cash";12.766,20;0,00;0,00;"2022.10.20 18:03:04";20.10.2022;"18:03:04";12.762,10;"0.00";"0.00";0,00;0,12
22340439;"2022.10.24 09:53:14";24.10.2022;"09:53:14";"sell";0,03;".de40cash";12.822,50;0,00;0,00;"2022.10.24 10:03:39";24.10.2022;"10:03:39";12.901,60;"0.00";"0.00";0,00;-2,37
22341402;"2022.10.24 10:00:29";24.10.2022;"10:00:29";"sell";0,03;".de40cash";12.847,90;0,00;0,00;"2022.10.24 10:03:39";24.10.2022;"10:03:39";12.901,60;"0.00";"0.00";0,00;-1,61
22342344;"2022.10.24 10:04:11";24.10.2022;"10:04:11";"sell";0,04;".de40cash";12.916,40;0,00;0,00;"2022.10.24 10:18:20";24.10.2022;"10:18:20";12.805,70;"0.00";"0.00";0,00;4,43
22342861;"2022.10.24 10:04:41";24.10.2022;"10:04:41";"sell";0,04;".de40cash";12.900,00;0,00;0,00;"2022.10.24 10:18:24";24.10.2022;"10:18:24";12.810,60;"0.00";"0.00";0,00;3,58
22356611;"2022.10.24 13:34:54";24.10.2022;"13:34:54";"sell";0,04;".de40cash";12.883,80;0,00;0,00;"2022.10.24 13:42:45";24.10.2022;"13:42:45";12.879,60;"0.00";"0.00";0,00;0,17
22357839;"2022.10.24 13:56:48";24.10.2022;"13:56:48";"sell";0,04;".de40cash";12.890,40;0,00;0,00;"2022.10.24 13:57:04";24.10.2022;"13:57:04";12.886,20;"0.00";"0.00";0,00;0,17
22358654;"2022.10.24 14:00:25";24.10.2022;"14:00:25";"sell";0,04;".de40cash";12.897,20;0,00;0,00;"2022.10.24 14:06:25";24.10.2022;"14:06:25";12.902,20;"0.00";"0.00";0,00;-0,20
22359374;"2022.10.24 14:05:47";24.10.2022;"14:05:47";"sell";0,04;".de40cash";12.909,90;0,00;0,00;"2022.10.24 14:06:21";24.10.2022;"14:06:21";12.901,10;"0.00";"0.00";0,00;0,35
22361071;"2022.10.24 14:34:08";24.10.2022;"14:34:08";"sell";0,04;".de40cash";12.919,90;0,00;0,00;"2022.10.24 17:04:56";24.10.2022;"17:04:56";12.900,60;"0.00";"0.00";0,00;0,77
22362446;"2022.10.24 14:48:42";24.10.2022;"14:48:42";"sell";0,04;".de40cash";12.965,90;0,00;0,00;"2022.10.24 17:04:56";24.10.2022;"17:04:56";12.900,60;"0.00";"0.00";0,00;2,61
22430157;"2022.10.25 16:49:28";25.10.2022;"16:49:28";"buy";0,04;".de40cash";12.949,90;0,00;0,00;"2022.10.25 16:52:15";25.10.2022;"16:52:15";12.970,10;"0.00";"0.00";0,00;0,81
22430767;"2022.10.25 16:49:47";25.10.2022;"16:49:47";"buy";0,04;".de40cash";12.949,00;0,00;0,00;"2022.10.25 16:52:15";25.10.2022;"16:52:15";12.964,80;"0.00";"0.00";0,00;0,63
22441557;"2022.10.25 18:14:58";25.10.2022;"18:14:58";"buy";0,04;".de40cash";13.033,90;0,00;0,00;"2022.10.25 18:31:59";25.10.2022;"18:31:59";13.043,70;"0.00";"0.00";0,00;0,39
22442592;"2022.10.25 18:21:20";25.10.2022;"18:21:20";"buy";0,04;".de40cash";13.031,90;0,00;0,00;"2022.10.25 18:31:56";25.10.2022;"18:31:56";13.043,80;"0.00";"0.00";0,00;0,48
22484594;"2022.10.26 13:12:26";26.10.2022;"13:12:26";"buy";0,04;".de40cash";13.097,10;0,00;0,00;"2022.10.26 13:13:35";26.10.2022;"13:13:35";13.104,00;"0.00";"0.00";0,00;0,28
22485867;"2022.10.26 13:27:56";26.10.2022;"13:27:56";"sell";0,04;".de40cash";13.114,10;0,00;0,00;"2022.10.26 13:35:03";26.10.2022;"13:35:03";13.111,40;"0.00";"0.00";0,00;0,11
22488282;"2022.10.26 14:04:53";26.10.2022;"14:04:53";"sell";0,04;".de40cash";13.120,50;0,00;0,00;"2022.10.26 14:05:35";26.10.2022;"14:05:35";13.117,10;"0.00";"0.00";0,00;0,14
